**Projeler**

| Proje Türü | Proje Başlığı | Proje Ekibi | Proje Bitiş Yılı |
| İTÜ-BAP | Antarktika King George Adası Asidik Kayaç Drenaj Oluşum Mekanizması Kökeni ve Fe Salınımı Üzerine Etkileri | Prof. Dr. Nurgül Çelik Balcı (Yürütücü), Araş. Gör. Yağmur Güneş Develioğlu, Şevval Yalçınkaya | 2024 |
| İTÜ-BAP | Ayrışmanın İstanbul'daki Kuvarsitlerin Fiziksel ve Mekanik Özelliklerine Etkileri | Doç. Dr. Ömer Ündül, Dr. Öğr. Üy. Erkan Bozkurtoğlu, Arş. Gör. Gökhan Şans, Arş. Gör. Mehmet Korkut | 2024 |
| İTÜ-BAP | Batı Toros Kuşağı Triyas çamurtaşlarının ankonvansiyonel hidrokarbon sistem karakteristiklerinin belirlenmesi | Dr. Öğr. Üyesi Zeynep Döner (Yürütücü), Prof. Dr. Sedat İnan, Prof.Dr. Shengyu YANG, Prof.Dr. Qinhong HU, Dr. Qiming WANG | 2025 |
| İTÜ-BAP | Kadınhanı Konya Yöresinde Yeralan Metavolkanik Kayaçların Petrolojisi | Prof. Dr. Şenel Özdamar | 2024 |
| İTÜ-BAP | Paleoclimate and sedimentary processes in shelf and slope of active continental margin a case study Makran Accretionary Wedge Gulf of Oman | Prof. Dr. Emin Çiftçi | 2024 |
| İTÜ-BAP | Salda Gölünde oluşan sulu magnezyum karbonatların dokusal ve jeokimyasal özelliklerinin mikroskobik yöntemlerle tayini | Prof. Dr. Nurgül Çelik Balcı (Yürütücü), Arş. Gör. Yağmur Güneş Develioğlu | 2024 |
| İTÜ-BAP | Texture, morphology and fabrics of Lake Salda microbialites as potential biosignals: Implications for the marginal carbonates of Jezero Crater Mars | Prof. Dr. Nurgül Çelik Balcı (Yürütücü), Matt J. Baldes, Prof. Tanja Bosak, Prof. David McGee, Arş. Gör. Yağmur Güneş Develioğlu | 2024 |
| İTÜ-BAP | Trakya Bölgesi Sıkı Kumtaşı ve Gaz Şeyli Geleneksel Olmayan (Ankonvansiyonel) Rezervuarları Örneğinde Pürüzlü Saydam Yapay ve Doğal Çatlak Replikaları Boyunca Proppant Taşınım ve Yerleşiminin Laboratuvar Modellemesi | Dr.Öğr.Üyesi Kayhan Develi (Yürütücü), Prof. Dr. Tayfun Babadağlı, M. Tolga Sipahi | 2024 |
| İTÜ-BAP | Salda Gölü (Burdur) ve çevresindeki hidrotermal sularda katı-sıvı etkileşimi sırasındaki Zr, Hf ve NTE'nin davranışlarının incelenmesi | Prof.Dr. Mustafa Kumral (Yürütücü), Prof.Dr. Ahmet Şaşmaz, Dr.Öğr.Üyesi Mustafa Kaya, Mühendis Belgin Aydın Yıldırım | 2024 |
| İTÜ-BAP | Maden Karmaşığı'nda (Elazığ) Diyabazlarda Gözlenen Cu-Zn Cevherleşmesinin Kökeni Yapısal İlişkisi ve Spektral Özelikleri | Doç.Dr. Muhittin Karaman (Yürütücü), Prof.Dr. Mustafa Kumral, Dr.Öğr.Üyesi Mustafa Kaya, Dr. Cihan Yalçın | 2024 |
| Özel (CASK) | Mineral Malatya Karakuz Demir yatağının yamaç duraylılığı, jeoloji ve yapısal jeolojisi | Doç. Dr. Atilla Öztürk (Yürütücü), Prof. Dr. Ş. Can Genç, Dr. Orhan Yavuz | 2024 |
| Özel (JEOMATERİALS) | Balıkesir Sındırgı Şapçı köyü ve dolayının jeolojik ve yapısal jeolojik etüdü | Prof. Dr. Ş. Can Genç (Yürütücü) | 2025 |
| TÜBİTAK-3501 | Hassas Alpin Göl Ekosistemlerinin İklim ve İnsan Etkisine Verdiği Tepkilerin Paleoekolojik Yöntemlerle Araştırılması | Doç.Dr.Demet Biltekin (Yürütücü), Prof. Dr. Kadir Eriş | 2025 |
| TÜBİTAK-1007 | Türkiye Diri Faylarının Paleosismolojik Özelliklerinin Belirlenmesi | Dr.Öğr.Üyesi Gülsen Uçarkuş (Yürütücü), Prof.Dr. Kadir Eriş, Dr.Öğr.Üyesi Caner İmren | 2025 |
| TÜBİTAK-1505 | Atık Akıllı Telefon Ekranlarından Solvometalurji ve İyon Baskılanmış Membran Yöntemleriyle Kritik Hammaddelerin ve Nadir Toprak Elementlerinin Geri Kazanımı | Doç.Dr.Mehmet Şeref Sönmez (Yürütücü), Doç.Dr. Bihter Zeytuncu, Öğr.Gör. Beril Tanç Kaya | 2026 |
| TÜBİTAK-1001 | Ezine-Ayvacık Magmatik Sistemleri Ile Iliskili U-Th Ve Nadir Toprak Element Zenginlesmesinin Kökeninin Petrolojik Evrim Süreçleri Içinde Degerlendirilmesi | Dr. Öğr.Fatma Gülmez Yıldırım (Yürütücü), Prof. Dr. Ş. Can Genç, Prof. Dr. Zekiye Karacık, Prof. Dr. Yüksel Örgün, Prof. Dr. Namık Aysal | 2024 |
| TÜBİTAK-1001 | Batı Marmara (Gelibolu Yarımadası-Gökçeada) Kıyılarında Deniz Seviyesi Değişimlerinin Kayıtları ile Bunların Zamansal, Mekânsal Dağımları ve Bölgenin Neotektoniği Açısından İncelenmesi | Arş.Gör.Ufuk Tarı (Yürütücü), Prof. Dr.Gürsel Sunal, Prof. Dr.Cenk Yaltırak, Doç. Dr.Orkan Özcan, Dr. Öğr. Üyesi Nazlı Olğun Kıyak | 2024 |
| TÜBİTAK-1001 | Ege Denizi Paleoiklim Kayıtlarının Çoklu Parametre Yöntemlerle Tayini Ve Gelecek Iklim Değişikliğinden Etkilenebilirliğinin Belirlenmesi, Proje No. 123Y108 | Doç.Dr.Demet Biltekin (Yürütücü), Prof. Dr. Kadir Eriş, Dr.Öğr.Üyesi Gülsen Uçarkuş | 2026 |
| TÜBİTAK-1001 | Gölbaşı Havzası Göllerinde Depremle Tetiklenen Sualtı Çökellerinin Tayini ile Doğu Anadolu Fay Zonu, Pazarcık Fay Segmentinin Deprem Aktivitesinin Çoklu Parametre Yöntemlerle Belirlenmesi | Dr.Öğr.Üyesi Gülsen Uçarkuş (Yürütücü), Doç.Dr.Demet Biltekin, Prof. Dr.Kadir Eriş, Dr.Öğr.Üyesi Mehmet Köküm, Prof. Dr. Ahmet Şaşmaz | 2024 |
| TÜBİTAK-1001 | Gördes Asmasifi (Manisa) Içerisindeki Tersiyer Kabuksal Ergiyiklerinin Termodinamiği, Petrolojisi Ve Çekirdek Kompleksi Gelişimindeki Rolü | Dr.Öğr.Üyesi Ömer Kamacı (Yürütücü), Dr.Öğr. Görevlisi Alp Ünal, Prof. Dr. Şafak Altunkaynak | 2026 |
| TÜBİTAK-1001 | Maritime Antarktika- Barton Peninsula'daki Asidik Kaya Drenajının (Akd) Jeokimyasal Karakterizasyonu ile Potensiyel Çevresel ve Ekolojik Riskin Tayin Edilmesi | Prof. Dr. Nurgül Çelik Balcı (Yürütücü), Dr. Öğr. Üyesi Hatice Ünal Ercan, Arş. Gör. Yağmur Güneş Develioğlu | 2026 |
| TÜBİTAK-1001 | Nelson Adası (KB Antarktika) magmatizmasının petrolojisi, jeokronolojisi ve Güney Shetland yay sistemi içerisindeki yeri | Dr. Alp Ünal (Yürütücü), Prof. Dr. Şafak Altunkaynak | 2026 |
| TÜBİTAK-1001 | Nte’lere Yönelik Mikroakışkan Platform Geliştirilmesi: Madende Nadir Toprak Elementlerinin Hızlı Ekstraksiyonu Ve Zenginleştirilerek Saptanması | Doç. Dr. Birgül Benli (Yürütücü), Prof. Dr. Hacı Deveci, Dr. Öğr. Üyesi Zeynep Döner, Dr. Sibel Şimşek Yazıcı, Dr. Emrah Yılmaz, Dr. Belma Soydaş Sözer, Dr. Merve Taner Camcı | 2026 |
| TÜBİTAK-1001 | Orhaneli Ofiyolitine Ait Mafik/Ultramafik Kaya Gruplarının Jeolojik Karbon Depolama Potansiyelinin Deneysel Olarak Araştırılması: Karbondioksit Emisyonu Problemine Jeolojik/Mineralojik Çözüm | Dr.Öğr.Üyesi Hatice Ünal Ercan (Yürütücü), Doç.Dr.Ömer Ündül, Dr.Öğr.Üyesi Fatma Gülmez, Dr.Öğr.Üyesi İlyas Deveci, Prof.Dr.Mustafa Topkafa | 2026 |
